date	crude
03/25/02	24.58
03/26/02	24.6
03/27/02	25.21
03/28/02	25.42
03/29/02	25.42
04/01/02	26
04/02/02	26.82
04/03/02	26.6
04/04/02	26.35
04/05/02	25.42
04/08/02	26.22
04/09/02	25.04
04/10/02	24.98
04/11/02	24.12
04/12/02	22.95
04/15/02	23.44
04/16/02	24.45
04/17/02	24.7
04/18/02	26.13
04/19/02	26
04/22/02	25.7
04/23/02	26.65
04/24/02	26.23
04/25/02	26.32
04/26/02	26.26
04/29/02	27.07
04/30/02	27.07
05/01/02	26.67
05/02/02	25.71
05/03/02	25.84
05/06/02	25.4
05/07/02	25.75
05/08/02	26.2
05/09/02	25.85
05/10/02	26.28
05/13/02	26.01
05/14/02	26.81
05/15/02	26.89
05/16/02	25.67
05/17/02	25.49
05/20/02	25.62
05/21/02	24.63
05/22/02	24.31
05/23/02	24.56
05/24/02	24.15
05/27/02	24.3
05/28/02	24.67
05/29/02	24.19
05/30/02	23.57
05/31/02	23.98
06/03/02	23.79
06/04/02	23.5
06/05/02	23.11
06/06/02	23.07
06/07/02	23.27
06/10/02	23.22
06/11/02	22.8
06/12/02	23.01
06/13/02	23.68
06/14/02	24.55
06/17/02	25.25
06/18/02	24.6
06/19/02	24.71
06/20/02	24.5
06/21/02	24.36
06/24/02	25.14
06/25/02	25.47
06/26/02	24.91
06/27/02	25.46
06/28/02	25.53
07/01/02	25.67
07/02/02	25.76
07/03/02	25.61
07/04/02	25.64
07/05/02	25.82
07/08/02	25.01
07/09/02	25.01
07/10/02	25.85
07/11/02	25.76
07/12/02	26.17
07/15/02	25.81
07/16/02	26.2
07/17/02	26.52
07/18/02	26.51
07/19/02	26.74
07/22/02	25.65
07/23/02	25.35
07/24/02	25.27
07/25/02	25.46
07/26/02	25.26
07/29/02	25.26
07/30/02	26.15
07/31/02	26.28
08/01/02	25.6
08/02/02	25.57
08/05/02	25.24
08/06/02	25.61
08/07/02	25.19
08/08/02	25.37
08/09/02	25.64
08/12/02	26.16
08/13/02	26.31
08/14/02	26.58
08/15/02	27.34
08/16/02	27.67
08/19/02	28
08/20/02	27.78
08/21/02	28.03
08/22/02	27.44
08/23/02	27.1
08/26/02	27.7
08/27/02	27.35
08/28/02	26.87
08/29/02	27.08
08/30/02	27.5
09/02/02	27.63
09/03/02	26.65
09/04/02	27.34
09/05/02	27.5
09/06/02	28.52
09/09/02	28.54
09/10/02	28.83
09/11/02	28.48
09/12/02	27.72
09/13/02	28.59
09/16/02	28.34
09/17/02	27.97
09/18/02	28.45
09/19/02	28.49
09/20/02	28.73
09/23/02	29.45
09/24/02	29.42
09/25/02	29.22
09/26/02	28.98
09/27/02	28.95
09/30/02	29
10/01/02	29.05
10/02/02	29.15
10/03/02	28.45
10/04/02	28.21
10/07/02	28.38
10/08/02	28.15
10/09/02	28.3
10/10/02	27.59
10/11/02	28.1
10/14/02	28.6
10/15/02	28.71
10/16/02	28.37
10/17/02	28.3
10/18/02	28.15
10/21/02	27.06
10/22/02	26.64
10/23/02	26.58
10/24/02	26.64
10/25/02	25.95
10/28/02	25.73
10/29/02	25.55
10/30/02	25.28
10/31/02	25.58
11/01/02	25.69
11/04/02	25.53
11/05/02	24.61
11/06/02	23.94
11/07/02	23.61
11/08/02	23.75
11/11/02	24.27
11/12/02	23.85
11/13/02	22.67
11/14/02	22.5
11/15/02	22.81
11/18/02	23.85
11/19/02	24.24
11/20/02	24.12
11/21/02	24.65
11/22/02	25.07
11/25/02	24.61
11/26/02	24.63
11/27/02	25.22
11/28/02	24.94
11/29/02	25.23
12/02/02	25.87
12/03/02	25.96
12/04/02	25.57
12/05/02	26.14
12/06/02	25.92
12/09/02	26.07
12/10/02	26.68
12/11/02	27.05
12/12/02	27.04
12/13/02	27.72
12/16/02	29.26
12/17/02	29.24
12/18/02	30.16
12/19/02	30.44
12/20/02	29.82
