date,crudedaily.rets
12/8/1986,-0.86293267
12/9/1986,-0.534760633
12/10/1986,1.265418151
12/11/1986,2.419209188
12/12/1986,4.113202398
12/15/1986,1.538018629
12/16/1986,-1.662088124
12/17/1986,-1.75333233
12/18/1986,2.741604734
12/19/1986,1.706318059
12/22/1986,2.32915874
12/23/1986,-0.118133505
12/24/1986,1.93157893
12/25/1986,0
12/26/1986,0
12/29/1986,2.29236399
12/30/1986,0.39581618
12/31/1986,1.122346237
1/1/1987,0
1/2/1987,1.165061722
1/5/1987,-0.886432397
1/6/1987,1.326719294
1/7/1987,0.328947665
1/8/1987,1.951281422
1/9/1987,0.748666598
1/12/1987,1.165267423
1/13/1987,-0.686924762
1/14/1987,1.421450625
1/15/1987,-0.209314571
1/16/1987,0.209314571
1/19/1987,-2.273425959
1/20/1987,0.106894719
1/21/1987,-0.643089033
1/22/1987,0.856536286
1/23/1987,-0.910314184
1/26/1987,0.214938288
1/27/1987,-0.86253904
1/28/1987,0.486093315
1/29/1987,0.644470544
1/30/1987,0.213903825
2/2/1987,-0.696866932
2/3/1987,-1.136068481
2/4/1987,-0.655024176
2/5/1987,1.629585219
2/6/1987,-0.648650923
2/9/1987,-0.434783294
2/10/1987,0.326264563
2/11/1987,-2.195477865
2/12/1987,0.16634326
2/13/1987,-1.282426274
2/16/1987,0
2/17/1987,-0.280977988
2/18/1987,-1.874522369
2/19/1987,0.171870567
2/20/1987,1.98362979
2/23/1987,-3.832324843
2/24/1987,-2.419710855
2/25/1987,-1.930096104
2/26/1987,3.294697522
2/27/1987,-3.112160203
3/2/1987,-0.121654516
3/3/1987,5.736127417
3/4/1987,0
3/5/1987,3.390155168
3/6/1987,0.719626687
3/9/1987,0
3/10/1987,0.769234562
3/11/1987,0.273298886
3/12/1987,0.4900636
3/13/1987,-0.108695663
3/16/1987,1.13545421
3/17/1987,1.75863845
3/18/1987,-1.008768841
3/19/1987,-0.696120616
3/20/1987,0.428955081
3/23/1987,-0.536481973
3/24/1987,0
3/25/1987,-0.647600752
3/26/1987,0.86253904
3/27/1987,0.107296148
3/30/1987,0.053604933
3/31/1987,0.800644789
4/1/1987,-0.212879271
4/2/1987,0.637283092
4/3/1987,-1.171472396
4/6/1987,0.160556631
4/7/1987,-0.107009106
4/8/1987,-0.053547525
4/9/1987,-0.214477294
4/10/1987,-2.060810458
4/13/1987,-0.991197542
4/14/1987,0.11061948
4/15/1987,1.970507108
4/16/1987,0.70213629
4/17/1987,0
4/20/1987,0.429646203
4/21/1987,1.594930141
4/22/1987,0.315956029
4/23/1987,0
4/24/1987,-0.105207795
4/27/1987,-0.951884501
4/28/1987,-0.532766311
4/29/1987,-0.321027563
4/30/1987,0.4811557
5/1/1987,0.478851673
5/4/1987,0.423729448
5/5/1987,1.312699343
5/6/1987,0.208441972
5/7/1987,-0.731455717
5/8/1987,1.043306281
5/11/1987,0.775398044
5/12/1987,-0.257798544
5/13/1987,0.103199184
5/14/1987,0.872919535
5/15/1987,1.370927793
5/18/1987,0.35237892
5/19/1987,0.35114157
5/20/1987,-1.107765608
5/21/1987,1.007565199
5/22/1987,-1.413451093
5/25/1987,0
5/26/1987,-1.691914238
5/27/1987,0.206611644
5/28/1987,-0.517331728
5/29/1987,0.414079267
6/1/1987,0.925456477
