palm	soybean	olive	crude
5.7009	6.282	7.8989	2.819
5.6842	6.2531	7.8956	2.816
5.6729	6.2493	7.917	2.772
5.6174	6.2181	7.9034	2.807
5.6961	6.3196	7.888	2.7134
5.8218	6.4218	7.8942	2.6071
5.8132	6.4789	7.8961	2.6546
5.7677	6.4413	7.8866	2.621
5.7882	6.4511	7.8948	2.6304
5.8823	6.42	7.8894	2.718
5.9996	6.457	7.9029	2.7887
6.0398	6.4037	7.9173	2.8178
6.0398	6.2902	8.1758	2.8696
6.1581	6.2902	8.1742	2.8226
6.2293	6.3455	8.1876	2.7632
6.2358	6.3408	8.2145	2.7991
6.3703	6.4221	8.2042	2.8507
6.3802	6.4591	8.1852	2.7651
6.2939	6.4225	8.1949	2.8064
6.303	6.3953	8.2354	2.8414
6.3416	6.4149	8.3335	2.8344
6.2371	6.3396	8.4127	2.9307
6.1967	6.3373	8.3998	2.908
6.2577	6.3729	8.4041	2.8536
6.334	6.4077	8.4391	2.7638
6.2923	6.3635	8.4319	2.777
6.2631	6.3616	8.4658	2.813
6.3165	6.3759	8.5118	2.7801
6.3091	6.3385	8.5335	2.8261
6.2915	6.3168	8.5177	2.8881
6.1786	6.2783	8.6142	2.887
6.1809	6.2836	8.7107	2.8887
6.1377	6.2811	8.7049	2.9952
6.2044	6.3638	8.6844	3.045
6.2207	6.3941	8.6838	2.9523
6.1016	6.3385	8.702	2.9053
6.0358	6.31	8.6834	2.976
6.1083	6.314	8.6675	2.9937
6.1499	6.3188	8.687	3.0938
6.1057	6.2338	8.7035	3.1646
6.1458	6.2343	8.7381	3.1037
6.1758	6.2269	8.739	3.1579
6.259	6.2662	8.7365	3.1557
6.2771	6.2674	8.5569	3.0364
6.2305	6.2995	8.4797	2.9554
6.2334	6.2861	8.3512	2.8605
6.2316	6.272	8.3539	2.9518
6.1562	6.2304	8.1468	2.8651
6.0981	6.181	8.2323	2.914
6.0971	6.1946	8.1908	2.928
6.1326	6.2343	8.253	2.9151
6.1955	6.2951	8.2726	2.9982
6.2007	6.3381	8.2641	2.9444
6.2119	6.304	8.2039	2.8391
6.3074	6.31	8.1534	2.714
6.3899	6.3654	8.0596	2.6433
6.3967	6.3919	8.0411	2.5711
6.4439	6.4203	8.0369	2.5945
6.4673	6.425	8.0585	2.6665
6.3686	6.3369	8.0659	2.4899
6.3692	6.3003	8.0621	2.4882
6.3799	6.2595	8.0546	2.4749
6.4407	6.2999	8.0997	2.5923
6.4191	6.2995	8.1158	2.5305
6.4241	6.3024	8.0961	2.3906
6.3626	6.259	8.1014	2.2824
6.3289	6.2247	8.0898	2.3933
6.1836	6.0939	8.0759	2.3224
6.0609	6.019	8.2341	2.4949
6.0862	6.0439	8.2491	2.7187
5.9876	5.994	8.2628	2.7226
5.8015	5.9222	8.2505	2.7473
5.6333	5.8314	8.2049	2.9291
5.731	5.9103	8.2259	3.0042
5.836	5.9293	8.2357	3.096
5.7871	5.8922	8.2565	3.0965
5.7556	5.8757	8.2187	3.2007
5.743	5.8569	8.1016	3.2379
5.7097	5.8751	8.1758	3.2276
5.6261	5.8493	8.1571	3.3189
5.6849	5.9175	8.1444	3.3131
5.7625	5.9918	8.1327	3.1153
5.646	5.9433	8.0845	3.3105
5.6067	5.8837	7.9966	3.3905
5.5855	5.8333	7.8898	3.3503
5.5497	5.819	7.8887	3.3975
5.4798	5.8314	7.8508	3.4849
5.3397	5.7972	7.8626	3.4317
5.3721	5.8005	7.8447	3.4819
5.2942	5.7932	7.8639	3.23
5.2564	5.7728	7.8725	3.2442
5.2207	5.7851	7.8447	3.3109
5.3514	5.8632	7.8498	3.1946
5.3422	5.8111	7.8625	3.2406
5.2679	5.7796	7.8562	3.3481
5.3431	5.8065	7.8385	3.3222
5.6335	5.949	7.8474	3.2003
5.745	5.9852	7.8736	3.2453
5.559	5.8818	7.9145	3.2402
5.4471	5.8111	7.9525	3.0194
5.6402	5.8664	7.9849	2.9413
5.6886	5.8544	7.9543	2.9232
5.7375	5.8391	7.9333	2.9694
5.693	5.8346	7.9284	3.0101
5.7119	5.8775	7.9358	3.1651
5.7403	5.9001	7.9425	3.2445
5.8225	5.9316	7.9448	3.2359
5.9296	5.9891	7.9495	3.1835
5.9114	6.0475	8.0002	3.2492
5.97	6.1165	7.992	3.282
5.9119	6.0939	8.0064	3.3443
5.921	6.0993	8.0023	3.316
6.0161	6.1959	8.0106	3.1987
6.072	6.1718	8.0189	3.3506
6.0668	6.117	8.0886	3.4433
6.0439	6.1116	8.1301	3.4858
5.9665	6.1334	8.1555	3.4125
5.9328	6.1769	8.1501	3.2197
5.9457	6.2062	8.1804	3.2508
5.9673	6.1905	8.248	3.316
5.9476	6.1419	8.2566	3.3464
5.8915	6.0788	8.249	3.3955
5.9266	6.2044	8.296	3.2995
6.1071	6.3555	8.3486	3.3874
6.1834	6.3654	8.3561	3.3593
6.1706	6.4282	8.391	3.3972
6.1478	6.467	8.4175	3.4398
6.2178	6.5579	8.4487	3.4298
6.2549	6.6044	8.4497	3.5205
6.2468	6.5784	8.4262	3.5074
6.1762	6.5213	8.4274	3.6355
6.0137	6.4374	8.4417	3.5608
5.9575	6.3558	8.4446	3.6473
5.9756	6.254	8.4488	3.7619
5.9956	6.2321	8.4271	3.77
5.9444	6.1271	8.4224	3.9074
5.9576	6.1334	8.449	3.7624
5.9138	6.1121	8.4813	3.6801
5.8483	6.0749	8.5851	3.7905
5.851	6.0941	8.6269	3.819
5.9265	6.2405	8.6386	3.9718
5.9292	6.2118	8.6341	3.9485
5.9139	6.2174	8.6102	3.8851
5.9125	6.2724	8.5888	3.9947
5.9124	6.3043	8.5639	4.0532
5.8869	6.2243	8.6288	4.1603
5.9135	6.2083	8.6428	4.1428
5.9476	6.2601	8.6398	4.0694
5.9295	6.1945	8.653	4.0169
5.9105	6.1442	8.5748	4.0387
5.9347	6.1799	8.6572	4.1521
5.9678	6.2099	8.6691	4.093
5.949	6.2459	8.6561	4.1312
5.9569	6.2508	8.6275	4.2548
5.9777	6.3232	8.6749	4.2512
5.9563	6.3101	8.6079	4.2321
6.0015	6.3747	8.6149	4.3027
6.0742	6.3324	8.6262	4.2988
6.0329	6.2809	8.6078	4.1395
6.0458	6.3274	8.5641	4.067
6.167	6.4355	8.5292	4.0687
6.2695	6.4435	8.4681	4.1321
6.3113	6.4546	8.4097	3.9945
6.3167	6.4996	8.4266	4.0563
6.3393	6.5214	8.4658	4.1294
6.4699	6.571	8.492	4.2106
6.6075	6.6281	8.4625	4.2118
6.618	6.663	8.4193	4.2672
6.6392	6.7083	8.3955	4.3464
6.5924	6.681	8.3707	4.2599
6.6136	6.7484	8.3859	4.3455
6.7143	6.7798	8.4026	4.4193
6.7769	6.8956	8.4447	4.5275
6.7838	6.9344	8.4212	4.5158
6.8947	7.0415	8.4249	4.5209
7.0117	7.1761	8.4321	4.552
7.0448	7.1864	8.471	4.6374
6.9879	7.164	8.4432	4.7045
6.991	7.1933	8.417	4.8198
6.9998	7.2545	8.3571	4.8907
6.9337	7.2242	8.3718	4.8971
6.6743	7.0594	8.3175	4.7349
6.5029	6.949	8.2725	4.5957
6.187	6.6955	8.2055	4.2883
6.071	6.591	8.1039	3.9748
6.0876	6.5235	8.1183	3.7276
6.258	6.6264	8.0983	3.8035
6.2718	6.5542	8.0611	3.7668
6.3229	6.5427	8.0261	3.8467
6.5413	6.6686	8.0352	3.9288
6.6495	6.7396	8.0557	4.0594
6.5379	6.7234	8.1413	4.2282
6.4002	6.6209	8.1686	4.1731
6.532	6.6966	8.219	4.2837
6.4559	6.6193	8.2808	4.2149
6.4561	6.6816	8.2765	4.2931
6.5137	6.7502	8.2825	4.3443
6.5897	6.7655	8.256	4.3131
6.6094	6.7313	8.2221	4.3356
6.6258	6.7339	8.156	4.3083
6.677	6.7678	8.1166	4.3729
6.6828	6.7663	8.0994	4.4418
6.6536	6.7247	8.0101	4.334
6.6398	6.7105	7.9813	4.3153
6.6522	6.7295	7.9844	4.314
6.763	6.7971	8.0351	4.3398
6.7855	6.8348	8.0288	4.354
6.8408	6.942	8.037	4.4179
6.9651	7.024	8.0333	4.4505
7.0658	7.097	8.0077	4.5196
7.1217	7.1366	8.003	4.5674
7.1297	7.1455	8.0242	4.644
7.0407	7.127	8.0387	4.7401
7.0245	7.1539	8.0791	4.8134
7.0418	7.1354	8.0598	4.7402
6.9809	7.1309	8.0383	4.7341
6.9408	7.1246	8.0301	4.7575
6.9542	7.1109	8.0452	4.7012
6.9029	7.1057	8.0109	4.7084
6.8183	7.0271	8.0107	4.6956
6.8934	7.0196	8.0169	4.7051
6.8763	7.0058	7.9944	4.6819
6.9281	7.0315	7.9636	4.7095
6.9543	7.0649	7.9764	4.785
7.0083	7.0872	7.9723	4.8277
7.054	7.1169	7.9798	4.7924
6.9384	7.034	7.9637	4.7052
6.8326	7.0011	7.9304	4.5601
6.8591	7.0693	7.9437	4.6361
6.8358	7.0805	8.033	4.7304
6.7794	7.1011	8.2238	4.7308
6.6439	7.021	8.2305	4.7183
6.6109	6.9771	8.1816	4.6979
6.5708	6.9928	8.1346	4.6972
6.6548	7.0236	8.2851	4.7268
6.675	7.0317	8.3152	4.7575
6.6488	7.0057	8.2852	4.6935
6.6287	6.9909	8.2761	4.6335
6.6378	6.9873	8.2372	4.635
6.6373	6.9647	8.249	4.6358
6.5928	6.9086	8.2329	4.6795
6.5832	6.8504	8.2259	4.7092
6.5873	6.8405	8.2388	4.7151
6.6368	6.7998	8.2097	4.6957
6.6974	6.7994	8.2107	4.6828
6.6787	6.7713	8.1924	4.7062
6.6455	6.7231	8.1966	4.6781
6.6985	6.7727	8.1821	4.6896
6.7575	6.8336	8.1865	4.6766
6.7158	6.8396	8.1893	4.681
6.685	6.7952	8.1975	4.6975
6.6313	6.7703	8.2312	4.7173
6.6239	6.7018	8.2978	4.6727
6.5189	6.6145	8.329	4.6242
6.4877	6.5677	8.345	4.5782
6.5119	6.5812	8.3004	4.469
6.4959	6.5812	8.3622	4.3623
