"","KLSE.Open","KLSE.Close","KLSE.Adjusted"
"2815",1642.089966,1649.359985,1649.359985
"2816",1647.369995,1632.189941,1632.189941
"2817",1628.900024,1635.839966,1635.839966
"2818",1636.439941,1644.579956,1644.579956
"2819",1640.089966,1648.97998,1648.97998
"2820",1643.660034,1628.26001,1628.26001
"2821",1628.52002,1621.209961,1621.209961
"2822",1619.47998,1633.390015,1633.390015
"2823",1624.75,1635.719971,1635.719971
"2824",1621.079956,1633.76001,1633.76001
"2825",1634.829956,1628.790039,1628.790039
"2826",1628.829956,1634.890015,1634.890015
"2827",1631.27002,1625.839966,1625.839966
"2828",1630.01001,1630.959961,1630.959961
"2829",1628.780029,1631.089966,1631.089966
"2830",1631.109985,1637.189941,1637.189941
"2831",1632.680054,1629.869995,1629.869995
"2832",1628.77002,1626,1626
"2833",1623.329956,1626.5,1626.5
"2834",1625.829956,1630.530029,1630.530029
"2835",1633.75,1636.459961,1636.459961
"2836",1633.380005,1648.98999,1648.98999
"2837",1650.26001,1660.619995,1660.619995
"2838",1658.579956,1657.849976,1657.849976
"2839",1657.530029,1650.51001,1650.51001
"2840",1651.650024,1641.219971,1641.219971
"2841",1634.589966,1629.77002,1629.77002
"2842",1629.689941,1626.109985,1626.109985
"2843",1620.920044,1627.959961,1627.959961
"2844",1628.890015,1614.900024,1614.900024
"2845",1614.839966,1624.180054,1624.180054
"2846",1624.930054,1634.22998,1634.22998
"2847",1635.160034,1637.689941,1637.689941
"2848",1640.670044,1639.97998,1639.97998
"2849",1639.839966,1634.050049,1634.050049
"2850",1627.689941,1629.52002,1629.52002
"2851",1624.319946,1634.040039,1634.040039
"2852",1634.160034,1642.209961,1642.209961
"2853",1644.689941,1654.079956,1654.079956
"2854",1653.160034,1646.219971,1646.219971
"2855",1649.339966,1654.839966,1654.839966
"2856",1653,1650.709961,1650.709961
"2857",NA,NA,NA
"2858",NA,NA,NA
"2859",1655.599976,1644.540039,1644.540039
"2860",1645.839966,1653.869995,1653.869995
"2861",1653.579956,1653.969971,1653.969971
"2862",1653.51001,1660.390015,1660.390015
"2863",1658.26001,1654.780029,1654.780029
"2864",1660.459961,1668.400024,1668.400024
"2865",1664.920044,1670.839966,1670.839966
"2866",1671.599976,1670.550049,1670.550049
"2867",1669.48999,1669.609985,1669.609985
"2868",1661.359985,1657.540039,1657.540039
"2869",1656.130005,1657.420044,1657.420044
"2870",1657.640015,1668.26001,1668.26001
"2871",1666.98999,1661.420044,1661.420044
"2872",1661.800049,1663.560059,1663.560059
"2873",1658.390015,1658.5,1658.5
"2874",1657.98999,1653.26001,1653.26001
"2875",1657.180054,1665.22998,1665.22998
"2876",1664.310059,1660.22998,1660.22998
"2877",1657.439941,1648.5,1648.5
"2878",1651.650024,1655.290039,1655.290039
"2879",1655.23999,1664.040039,1664.040039
"2880",1666.339966,1672.680054,1672.680054
"2881",1674.48999,1671.709961,1671.709961
"2882",1668.869995,1673.030029,1673.030029
"2883",1675.030029,1678.800049,1678.800049
"2884",1681.109985,1684.150024,1684.150024
"2885",1681.050049,1690.329956,1690.329956
"2886",1683.939941,1699.890015,1699.890015
"2887",1695.569946,1694.319946,1694.319946
"2888",1692.98999,1694.869995,1694.869995
"2889",1693.219971,1687.680054,1687.680054
"2890",1682.939941,1691.069946,1691.069946
"2891",1684.75,1683.069946,1683.069946
"2892",1680.170044,1682.060059,1682.060059
"2893",1679.800049,1680.300049,1680.300049
"2894",1675.410034,1683.089966,1683.089966
"2895",1679.23999,1681.599976,1681.599976
"2896",1686.619995,1678.060059,1678.060059
"2897",1682.349976,1670.550049,1670.550049
"2898",1674.599976,1671.790039,1671.790039
"2899",1667.310059,1678.079956,1678.079956
"2900",1674.680054,1689.920044,1689.920044
"2901",1680.349976,1689.569946,1689.569946
"2902",1691.530029,1691.380005,1691.380005
"2903",1691.119995,1686.439941,1686.439941
"2904",1680.27002,1677.180054,1677.180054
"2905",1674.680054,1661.390015,1661.390015
"2906",1660.089966,1652.98999,1652.98999
"2907",1661.869995,1651.709961,1651.709961
"2908",1656.910034,1655.780029,1655.780029
"2909",1653.719971,1658.72998,1658.72998
"2910",1661.22998,1669.660034,1669.660034
"2911",1663.849976,1670.98999,1670.98999
"2912",1669.52002,1669.5,1669.5
"2913",1665.310059,1664.719971,1664.719971
"2914",1664.77002,1664.959961,1664.959961
"2915",1667.630005,1669.640015,1669.640015
"2916",1667.22998,1652.550049,1652.550049
"2917",1658.359985,1661.25,1661.25
"2918",1663.430054,1662.920044,1662.920044
"2919",1663.949951,1666.72998,1666.72998
"2920",1668.939941,1665.380005,1665.380005
"2921",1665.280029,1665.319946,1665.319946
"2922",1664.890015,1668.719971,1668.719971
"2923",1665.47998,1667.030029,1667.030029
"2924",1667.300049,1665.02002,1665.02002
"2925",1665.130005,1658.969971,1658.969971
"2926",1661.130005,1653.709961,1653.709961
"2927",1655.560059,1667.569946,1667.569946
"2928",1667.25,1668.27002,1668.27002
"2929",1667.089966,1667.180054,1667.180054
"2930",1668.030029,1669.97998,1669.97998
"2931",1668.77002,1677.76001,1677.76001
"2932",1677.439941,1677.430054,1677.430054
"2933",1675.170044,1673.920044,1673.920044
"2934",1673.949951,1669.030029,1669.030029
"2935",1669.609985,1670.27002,1670.27002
"2936",1676.829956,1672.459961,1672.459961
"2937",1673.560059,1670.930054,1670.930054
"2938",1669.810059,1659.599976,1659.599976
"2939",1658.189941,1648.079956,1648.079956
"2940",1646.339966,1648.23999,1648.23999
"2941",1643.449951,1650.589966,1650.589966
"2942",1653.439941,1663.819946,1663.819946
"2943",1664.119995,1647.619995,1647.619995
"2944",1652.369995,1652.73999,1652.73999
"2945",1646.73999,1634.189941,1634.189941
"2946",1628.430054,1616.640015,1616.640015
"2947",1617.359985,1630.560059,1630.560059
"2948",1633.030029,1627.630005,1627.630005
"2949",1627.369995,1626.77002,1626.77002
"2950",1624.160034,1623.800049,1623.800049
"2951",1621.420044,1627.280029,1627.280029
"2952",1628.150024,1629.319946,1629.319946
"2953",1631.300049,1630.380005,1630.380005
"2954",1629.369995,1624.209961,1624.209961
"2955",1625.189941,1627.26001,1627.26001
"2956",1625.369995,1628.660034,1628.660034
"2957",1629.969971,1626.930054,1626.930054
"2958",1627.569946,1619.119995,1619.119995
"2959",1621.099976,1626.439941,1626.439941
"2960",1627.51001,1628.959961,1628.959961
"2961",1630.560059,1624.969971,1624.969971
"2962",1624.170044,1629.72998,1629.72998
"2963",1633.150024,1632.469971,1632.469971
"2964",1639.390015,1643.75,1643.75
